Street Number, Street Name, Zipcode, Price, Hyperlink
125, N CLOVIS AVE, 93612, 1200000, https://www.loopnet.com/Listing/125-N-Clovis-Ave-Clovis-CA/17033665/
394, W ASHLAN AVE, 93612, 5670000, https://www.loopnet.com/Listing/394-W-Ashlan-Ave-Clovis-CA/17727669/
872, W RIALTO AVE, 92376, 2695000, https://www.loopnet.com/Listing/870-898-W-Rialto-Ave-Rialto-CA/16624706/
609, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
334, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
8250, WHITE OAK AVE, 91325, 5500000, https://www.loopnet.com/Listing/8232-8254-White-Oak-Ave-Northridge-CA/17540889/
4043, S MOONEY BLVD, 93277, 9975000, https://www.loopnet.com/Listing/4037-4045-S-Mooney-Blvd-Visalia-CA/16685111/
7942, AUBURN BLVD, 95610, 3200000, https://www.loopnet.com/Listing/7921-7959-Auburn-Blvd-Citrus-Heights-CA/15799834/
5624, CUSHING PKY, 94538, 29950000, https://www.loopnet.com/Listing/5601-5701-Cushing-Pky-Fremont-CA/15292848/
2301, SAN PABLO AVE, 94702, 900000, https://www.loopnet.com/Listing/2301-San-Pablo-Ave-Berkeley-CA/17030551/
1717, SESSUMS DR, 92374, 5400000, https://www.loopnet.com/Listing/1710-1730-Sessums-Dr-Redlands-CA/11420699/
42650, OSGOOD RD, 94539, 9150000, https://www.loopnet.com/Listing/42650-42660-Osgood-Rd-Fremont-CA/15539390/
1549, S EL DORADO ST, 95206, 448000, https://www.loopnet.com/Listing/1546-1562-S-El-Dorado-St-Stockton-CA/17599904/
40, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
1211, S BRAND BLVD, 91204, 3198000, https://www.loopnet.com/Listing/1210-1212-S-Brand-Blvd-Glendale-CA/17589035/
20499, ANITA AVE, 94546, 16100000, https://www.loopnet.com/Listing/20421-20499-Anita-Ave-Castro-Valley-CA/16738320/
1717, MASON ST, 94133, 11998000, https://www.loopnet.com/Listing/1717-Mason-St-San-Francisco-CA/17215580/
3653, W 5TH ST, 93030, 625000, https://www.loopnet.com/Listing/3600-3700-W-5th-St-Oxnard-CA/12971121/
236, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
255, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
807, ASHBURY ST, 94117, 2495000, https://www.loopnet.com/Listing/807-Ashbury-St-San-Francisco-CA/17299974/
1867, UNION ST, 94123, 5700000, https://www.loopnet.com/Listing/1865-1869-Union-St-San-Francisco-CA/17282252/
1802, SOQUEL AVE, 95062, 4500000, https://www.loopnet.com/Listing/1800-1818-Soquel-Ave-Santa-Cruz-CA/17702822/
3870, BEACON AVE, 94538, 995000, https://www.loopnet.com/Listing/3845-3885-Beacon-Ave-Fremont-CA/14951445/
1644, CAHUENGA BLVD, 90028, 8500000, https://www.loopnet.com/Listing/1641-1651-Cahuenga-Blvd-Los-Angeles-CA/17541412/
9624, CHARLEVILLE BLVD, 90212, 4850000, https://www.loopnet.com/Listing/9617-9625-Charleville-Blvd-Beverly-Hills-CA/17330327/
1324, E MAIN ST, 92021, 2000000, https://www.loopnet.com/Listing/1324-E-Main-St-El-Cajon-CA/16785062/
56, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
9243, RESEARCH DR, 92618, 1579355, https://www.loopnet.com/Listing/9235-9245-Research-Dr-Irvine-CA/15101373/
813, S ANZA ST, 92020, 1225000, https://www.loopnet.com/Listing/811-829-S-Anza-St-El-Cajon-CA/16753479/
10837, LAUREL ST, 91730, 665170, https://www.loopnet.com/Listing/10837-Laurel-St-Rancho-Cucamonga-CA/8490414/
7951, AUBURN BLVD, 95610, 3200000, https://www.loopnet.com/Listing/7921-7959-Auburn-Blvd-Citrus-Heights-CA/15799834/
2628, SEMINARY AVE, 94605, 750000, https://www.loopnet.com/Listing/2626-2630-Seminary-Ave-Oakland-CA/17400140/
910, N BLACKSTONE AVE, 93701, 695000, https://www.loopnet.com/Listing/901-911-N-Blackstone-Ave-Fresno-CA/16311723/
8225, COMMONWEALTH AVE, 90621, 3000000, https://www.loopnet.com/Listing/8200-8230-Commonwealth-Ave-Buena-Park-CA/17611171/
5837, PALM AVE, 95841, 795000, https://www.loopnet.com/Listing/5837-Palm-Ave-Sacramento-CA/17698948/
1007, BORANDA AVE, 94040, 3600000, https://www.loopnet.com/Listing/1007-Boranda-Ave-Mountain-View-CA/17545734/
1394, 18TH AVE, 94122, 3400000, https://www.loopnet.com/Listing/1394-18th-Ave-San-Francisco-CA/17413630/
11321, GARVEY AVE, 91732, 2450000, https://www.loopnet.com/Listing/11318-11328-Garvey-Ave-El-Monte-CA/16946986/
2001, S CONGRESS AVE, 90018, 749000, https://www.loopnet.com/Listing/2001-S-Congress-Ave-Los-Angeles-CA/17737173/
5228, 3RD ST, 94124, 2995000, https://www.loopnet.com/Listing/5222-5250-3rd-St-San-Francisco-CA/17387843/
235, KING ST, 94107, 4300000, https://www.loopnet.com/Listing/200-298-King-St-San-Francisco-CA/17571433/
692, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
13968, FREDERICK ST, 92553, 1702030, https://www.loopnet.com/Listing/13959-13979-Frederick-St-Moreno-Valley-CA/16627812/
1900, TERRACINA DR, 95834, 1030000, https://www.loopnet.com/Listing/1900-Terracina-Dr-Sacramento-CA/17404702/
2840, CHAPMAN ST, 94601, 2500000, https://www.loopnet.com/Listing/2840-2846-Chapman-St-Oakland-CA/17299103/
791, LEVY RD, 95630, 4000000, https://www.loopnet.com/Listing/791-Levy-Rd-Folsom-CA/17699752/
221, E SIXTH ST, 93030, 875000, https://www.loopnet.com/Listing/217-235-E-Sixth-St-Oxnard-CA/16444346/
2606, CONEJO CENTER DR, 91320, 585000, https://www.loopnet.com/Listing/2600-2736-Conejo-Center-Dr-Thousand-Oaks-CA/16114192/
26839, CHERRY HILLS BLVD, 92586, 18500000, https://www.loopnet.com/Listing/26800-26926-Cherry-Hills-Blvd-Menifee-CA/17733968/
13426, WOODRUFF AVE, 90706, 2950000, https://www.loopnet.com/Listing/13402-13428-Woodruff-Ave-Bellflower-CA/17549692/
7995, S VAN NESS AVE, 90305, 1248100, https://www.loopnet.com/Listing/7927-8001-S-Van-Ness-Ave-Inglewood-CA/17573269/
1158, E ASH AVE, 92831, 3405000, https://www.loopnet.com/Listing/1155-1171-E-Ash-Ave-Fullerton-CA/16964787/
1338, E CARSON ST, 90745, 3495000, https://www.loopnet.com/Listing/1329-1347-E-Carson-St-Carson-CA/16337835/
4630, W ROSECRANS AVE, 90250, 5995000, https://www.loopnet.com/Listing/4630-W-Rosecrans-Ave-Hawthorne-CA/17187617/
2355, W GRANT LINE RD, 95377, 3000000, https://www.loopnet.com/Listing/2355-W-Grant-Line-Rd-Tracy-CA/15579067/
15177, RAYMER ST, 91405, 4500000, https://www.loopnet.com/Listing/15140-15180-Raymer-St-Van-Nuys-CA/17422940/
3330, CLAYTON RD, 94519, 1600000, https://www.loopnet.com/Listing/3330-Clayton-Rd-Concord-CA/17241234/
149, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
9610, ALWOOD AVE, 92841, 4475000, https://www.loopnet.com/Listing/9602-9612-Alwood-Ave-Garden-Grove-CA/17358634/
4373, MISSISSIPPI ST, 92104, 6700000, https://www.loopnet.com/Listing/4366-4380-Mississippi-St-San-Diego-CA/17192707/
122, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
21921, DE LA OSA ST, 91364, 1695000, https://www.loopnet.com/Listing/21921-21925-De-La-Osa-St-Woodland-Hills-CA/17613720/
1037, GRANT AVE, 94133, 6150000, https://www.loopnet.com/Listing/1035-1055-Grant-Ave-San-Francisco-CA/17332123/
2019, ANDREO AVE, 90501, 795000, https://www.loopnet.com/Listing/2019-Andreo-Ave-Torrance-CA/16889320/
1308, HOPKINS ST, 94702, 1795000, https://www.loopnet.com/Listing/1308-Hopkins-St-Berkeley-CA/17249952/
15141, RAYMER ST, 91405, 4500000, https://www.loopnet.com/Listing/15140-15180-Raymer-St-Van-Nuys-CA/17422940/
125, S GRAPE ST, 92025, 695000, https://www.loopnet.com/Listing/125-S-Grape-St-Escondido-CA/17167636/
1542, W 134TH ST, 90249, 4075000, https://www.loopnet.com/Listing/1538-1542-W-134th-St-Gardena-CA/17041055/
474, E EUCLID AVE, 90222, 49950000, https://www.loopnet.com/Listing/419-531-E-Euclid-Ave-Compton-CA/16301697/
367, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
875, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
8273, WHITE OAK AVE, 91730, 1907000, https://www.loopnet.com/Listing/8273-White-Oak-Ave-Rancho-Cucamonga-CA/16071287/
655, E 3RD AVE, 94401, 16500000, https://www.loopnet.com/Listing/600-680-E-3rd-Ave-San-Mateo-CA/16440499/
5731, FULCHER AVE, 91601, 2429000, https://www.loopnet.com/Listing/5731-Fulcher-Ave-North-Hollywood-CA/17661315/
739, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
22422, HESPERIAN BLVD, 94541, 1800000, https://www.loopnet.com/Listing/22421-22429-Hesperian-Blvd-Hayward-CA/16829628/
75, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
2145, W GAYLORD AVE, 90813, 1800000, https://www.loopnet.com/Listing/2141-2147-W-Gaylord-Ave-Long-Beach-CA/17656738/
955, MOFFAT BLVD, 95336, 900000, https://www.loopnet.com/Listing/951-975-Moffat-Blvd-Manteca-CA/17013272/
4365, TECHNOLOGY DR, 94538, 8600000, https://www.loopnet.com/Listing/4340-4390-Technology-Dr-Fremont-CA/16118464/
9518, KRUSE RD, 90660, 3286320, https://www.loopnet.com/Listing/9501-9523-Kruse-Rd-Pico-Rivera-CA/17101457/
9091, EDINGER AVE, 92683, 2400000, https://www.loopnet.com/Listing/9091-Edinger-Ave-Westminster-CA/16834478/
1120, COLORADO AVE, 95380, 8080000, https://www.loopnet.com/Listing/1119-1127-Colorado-Ave-Turlock-CA/16405963/
659, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
1686, ACTION AVE, 94559, 3100000, https://www.loopnet.com/Listing/1621-1723-Action-Ave-Napa-CA/16445312/
1601, WHIPPLE RD, 94544, 1850000, https://www.loopnet.com/Listing/1601-1605-Whipple-Rd-Hayward-CA/16849290/
721, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
26894, CHERRY HILLS BLVD, 92586, 18500000, https://www.loopnet.com/Listing/26800-26926-Cherry-Hills-Blvd-Menifee-CA/17733968/
5633, CUSHING PKY, 94538, 29950000, https://www.loopnet.com/Listing/5601-5701-Cushing-Pky-Fremont-CA/15292848/
909, S CUCAMONGA AVE, 91761, 585000, https://www.loopnet.com/Listing/909-S-Cucamonga-Ave-Ontario-CA/17579845/
1713, ACTION AVE, 94559, 3100000, https://www.loopnet.com/Listing/1621-1723-Action-Ave-Napa-CA/16445312/
829, N E ST, 92410, 725000, https://www.loopnet.com/Listing/829-N-E-St-San-Bernardino-CA/17159506/
1084, E MADISON AVE, 92021, 1085000, https://www.loopnet.com/Listing/1084-E-Madison-Ave-El-Cajon-CA/17274860/
3637, W 5TH ST, 93030, 625000, https://www.loopnet.com/Listing/3600-3700-W-5th-St-Oxnard-CA/12971121/
2557, 26TH AVE, 95820, 1600000, https://www.loopnet.com/Listing/2550-2574-26th-Ave-Sacramento-CA/17231503/
171, S ANITA DR, 92868, 4130000, https://www.loopnet.com/Listing/171-S-Anita-Dr-Orange-CA/16369180/
897, S BRISTOL ST, 92703, 8250000, https://www.loopnet.com/Listing/855-905-S-Bristol-St-Santa-Ana-CA/15539797/
3002, TELEGRAPH AVE, 94609, 5450000, https://www.loopnet.com/Listing/3001-3007-Telegraph-Ave-Oakland-CA/17284290/
14241, OAK ST, 90605, 640000, https://www.loopnet.com/Listing/14241-Oak-St-Whittier-CA/16057624/
579, N LA CADENA DR, 92324, 1399990, https://www.loopnet.com/Listing/572-592-N-La-Cadena-Dr-Colton-CA/15970821/
2867, 4TH AVE, 92103, 4475000, https://www.loopnet.com/Listing/2851-2881-4th-Ave-San-Diego-CA/16619074/
4851, 67TH ST, 92115, 4999999, https://www.loopnet.com/Listing/4850-4890-67th-St-San-Diego-CA/17633041/
536, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
1656, ACTION AVE, 94559, 3100000, https://www.loopnet.com/Listing/1621-1723-Action-Ave-Napa-CA/16445312/
339, IRVING AVE, 91201, 2750000, https://www.loopnet.com/Listing/339-Irving-Ave-Glendale-CA/16405581/
7956, S VAN NESS AVE, 90305, 1248100, https://www.loopnet.com/Listing/7927-8001-S-Van-Ness-Ave-Inglewood-CA/17573269/
32291, DUNLAP BLVD, 92399, 1100000, https://www.loopnet.com/Listing/32291-Dunlap-Blvd-Yucaipa-CA/17303100/
11212, VICTORY BLVD, 91606, 3840000, https://www.loopnet.com/Listing/11212-Victory-Blvd-North-Hollywood-CA/17331996/
2168, BALBOA AVE, 92109, 2200000, https://www.loopnet.com/Listing/2168-Balboa-Ave-San-Diego-CA/17714798/
1496, CARMEL DR, 94596, 4850000, https://www.loopnet.com/Listing/1487-1502-Carmel-Dr-Walnut-Creek-CA/8577107/
975, FLYNN RD, 93012, 5750000, https://www.loopnet.com/Listing/975-Flynn-Rd-Camarillo-CA/12524546/
2142, E DURHAM FERRY RD, 95304, 485000, https://www.loopnet.com/Listing/2142-E-Durham-Ferry-Rd-Tracy-CA/16073410/
1330, COMMERCE ST, 94954, 3000000, https://www.loopnet.com/Listing/1330-Commerce-St-Petaluma-CA/17490961/
9240, RESEARCH DR, 92618, 1579355, https://www.loopnet.com/Listing/9235-9245-Research-Dr-Irvine-CA/15101373/
1672, ACTION AVE, 94559, 3100000, https://www.loopnet.com/Listing/1621-1723-Action-Ave-Napa-CA/16445312/
211, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
5230, CORONADO AVE, 94618, 3160000, https://www.loopnet.com/Listing/5230-Coronado-Ave-Oakland-CA/17222624/
5914, MISSION GORGE RD, 92120, 12450000, https://www.loopnet.com/Listing/5901-5927-Mission-Gorge-Rd-San-Diego-CA/16757796/
74, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
326, E BEACH AVE, 90302, 650000, https://www.loopnet.com/Listing/326-E-Beach-Ave-Inglewood-CA/17650128/
1122, E LINCOLN AVE, 92865, 152000, https://www.loopnet.com/Listing/1122-E-Lincoln-Ave-Orange-CA/8493978/
8217, COMMONWEALTH AVE, 90621, 3000000, https://www.loopnet.com/Listing/8200-8230-Commonwealth-Ave-Buena-Park-CA/17611171/
4879, 67TH ST, 92115, 4999999, https://www.loopnet.com/Listing/4850-4890-67th-St-San-Diego-CA/17633041/
3637, W 5TH ST, 93030, 560000, https://www.loopnet.com/Listing/3600-3700-W-5th-St-Oxnard-CA/12971031/
906, W 7TH ST, 93030, 299500, https://www.loopnet.com/Listing/901-999-W-7th-St-Oxnard-CA/12394578/
35136, ALVARADO NILES RD, 94587, 3150000, https://www.loopnet.com/Listing/35124-35136-Alvarado-Niles-Rd-Union-City-CA/17225586/
581, N LA CADENA DR, 92324, 1399990, https://www.loopnet.com/Listing/572-592-N-La-Cadena-Dr-Colton-CA/15970821/
2227, S GOLDEN STATE BLVD, 95380, 2096000, https://www.loopnet.com/Listing/2219-2237-S-Golden-State-Blvd-Turlock-CA/16173494/
98, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
845, S MOUNTAIN AVE, 91762, 8712000, https://www.loopnet.com/Listing/800-870-S-Mountain-Ave-Ontario-CA/17033296/
3644, W 5TH ST, 93030, 560000, https://www.loopnet.com/Listing/3600-3700-W-5th-St-Oxnard-CA/12971031/
1535, E WALNUT AVE, 92867, 6950000, https://www.loopnet.com/Listing/1527-1541-E-Walnut-Ave-Orange-CA/17194816/
473, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
320, WATTS DR, 93307, 1000000, https://www.loopnet.com/Listing/320-Watts-Dr-Bakersfield-CA/17241183/
16, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
2279, DURFEE AVE, 91732, 4000000, https://www.loopnet.com/Listing/2253-2307-Durfee-Ave-El-Monte-CA/16655398/
2757, OLD SONOMA RD, 94558, 8250000, https://www.loopnet.com/Listing/2750-2766-Old-Sonoma-Rd-Napa-CA/17350288/
1026, NATIONAL CITY BLVD, 91950, 7000000, https://www.loopnet.com/Listing/1010-1040-National-City-Blvd-National-City-CA/3827535/
475, E EUCLID AVE, 90222, 49950000, https://www.loopnet.com/Listing/419-531-E-Euclid-Ave-Compton-CA/16301697/
711, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
411, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
2107, N ANGUS ST, 93703, 15800000, https://www.loopnet.com/Listing/2045-2139-N-Angus-St-Fresno-CA/17335641/
2606, 27TH ST, 95818, 1215000, https://www.loopnet.com/Listing/2605-2607-27th-St-Sacramento-CA/17412880/
4548, PECK RD, 91732, 5500000, https://www.loopnet.com/Listing/4547-4567-Peck-Rd-El-Monte-CA/17171686/
3690, E HIGHLAND AVE, 92346, 5900000, https://www.loopnet.com/Listing/3654-3694-E-Highland-Ave-Highland-CA/17031947/
1934, W 9TH ST, 91786, 649900, https://www.loopnet.com/Listing/1934-W-9th-St-Upland-CA/17320429/
707, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
1240, 1ST ST, 95020, 8350000, https://www.loopnet.com/Listing/1207-1331-1st-St-Gilroy-CA/16786375/
105, S HARBOR BLVD, 92805, 545000, https://www.loopnet.com/Listing/102-184-S-Harbor-Blvd-Anaheim-CA/16444588/
12139, GARFIELD AVE, 90280, 5975000, https://www.loopnet.com/Listing/12132-12222-Garfield-Ave-South-Gate-CA/17303858/
28424, HASKELL CANYON RD, 91390, 8000000, https://www.loopnet.com/Listing/28410-28460-Haskell-Canyon-Rd-Santa-Clarita-CA/14445860/
866, S MOUNTAIN AVE, 91762, 8712000, https://www.loopnet.com/Listing/800-870-S-Mountain-Ave-Ontario-CA/17033296/
2424, FENTON ST, 91914, 1625000, https://www.loopnet.com/Listing/2424-Fenton-St-Chula-Vista-CA/9723163/
3458, UNIVERSITY AVE, 92104, 2000000, https://www.loopnet.com/Listing/3458-University-Ave-San-Diego-CA/17060023/
7360, LA TIJERA BLVD, 90045, 7200000, https://www.loopnet.com/Listing/7360-La-Tijera-Blvd-Los-Angeles-CA/17371967/
2740, MAIN ST, 92113, 850000, https://www.loopnet.com/Listing/2740-2742-Main-St-San-Diego-CA/17115217/
4175, E ASHLAN AVE, 93726, 4335484, https://www.loopnet.com/Listing/4175-E-Ashlan-Ave-Fresno-CA/17468564/
920, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
100, PANETTA AVE, 95060, 6200000, https://www.loopnet.com/Listing/100-Panetta-Ave-Santa-Cruz-CA/17129603/
6129, MONTEREY RD, 90042, 3188000, https://www.loopnet.com/Listing/6125-6129-Monterey-Rd-Los-Angeles-CA/16231457/
1300, COSTA AVE, 94806, 3300000, https://www.loopnet.com/Listing/1300-Costa-Ave-Richmond-CA/16758852/
139, W RIALTO AVE, 92376, 1000000, https://www.loopnet.com/Listing/135-149-W-Rialto-Ave-Rialto-CA/14108381/
5844, LONETREE BLVD, 95765, 3700000, https://www.loopnet.com/Listing/5842-5854-Lonetree-Blvd-Rocklin-CA/13477927/
747, CALLA DR, 94086, 3300000, https://www.loopnet.com/Listing/747-Calla-Dr-Sunnyvale-CA/17538902/
708, N MAIN ST, 90012, 28000000, https://www.loopnet.com/Listing/701-711-N-Main-St-Los-Angeles-CA/15922946/
481, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
2416, LAS POSITAS RD, 94551, 8350000, https://www.loopnet.com/Listing/2400-2428-Las-Positas-Rd-Livermore-CA/17407869/
754, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
7351, GARDEN GROVE BLVD, 92841, 2356200, https://www.loopnet.com/Listing/7351-Garden-Grove-Blvd-Garden-Grove-CA/17528368/
2726, NAGLEE RD, 95304, 6700000, https://www.loopnet.com/Listing/2712-2752-Naglee-Rd-Tracy-CA/16073780/
4419, FIRESTONE BLVD, 90280, 1195000, https://www.loopnet.com/Listing/4417-4421-Firestone-Blvd-South-Gate-CA/16149773/
631, E SLAUSON AVE, 90011, 11308239, https://www.loopnet.com/Listing/620-640-E-Slauson-Ave-Los-Angeles-CA/17718924/
2280, DURFEE AVE, 91732, 4000000, https://www.loopnet.com/Listing/2253-2307-Durfee-Ave-El-Monte-CA/16655398/
5854, LONETREE BLVD, 95765, 3700000, https://www.loopnet.com/Listing/5842-5854-Lonetree-Blvd-Rocklin-CA/13477927/
5244, 3RD ST, 94124, 2995000, https://www.loopnet.com/Listing/5222-5250-3rd-St-San-Francisco-CA/17387843/
3335, W ROSECRANS AVE, 90250, 1599000, https://www.loopnet.com/Listing/3334-3336-W-Rosecrans-Ave-Hawthorne-CA/16786623/
3931, 5TH AVE, 92103, 5795000, https://www.loopnet.com/Listing/3930-3940-5th-Ave-San-Diego-CA/17151731/
1450, W MAIN ST, 95340, 699000, https://www.loopnet.com/Listing/1450-W-Main-St-Merced-CA/16900239/
22541, SIOUX RD, 92308, 3750000, https://www.loopnet.com/Listing/22526-22544-Sioux-Rd-Apple-Valley-CA/16915221/
320, MAIN ST, 93901, 1195000, https://www.loopnet.com/Listing/319-323-Main-St-Salinas-CA/14547082/
2907, UNIVERSITY AVE, 92104, 6500000, https://www.loopnet.com/Listing/2906-2912-University-Ave-San-Diego-CA/16910727/
501, S BURLINGTON AVE, 90057, 6900000, https://www.loopnet.com/Listing/501-S-Burlington-Ave-Los-Angeles-CA/17491647/
1929, TARAVAL ST, 94116, 2695000, https://www.loopnet.com/Listing/1927-1929-Taraval-St-San-Francisco-CA/16947155/
930, W 7TH ST, 93030, 299500, https://www.loopnet.com/Listing/901-999-W-7th-St-Oxnard-CA/12394578/
5924, MISSION GORGE RD, 92120, 12450000, https://www.loopnet.com/Listing/5901-5927-Mission-Gorge-Rd-San-Diego-CA/16757796/
728, 1/2 EVERETT ST, 90026, 1300000, https://www.loopnet.com/Listing/938-1-2-940-1-2-Everett-St-Los-Angeles-CA/17711224/
1642, N 8TH ST, 92324, 4600000, https://www.loopnet.com/Listing/1641-1661-N-8th-St-Colton-CA/15177101/
443, S STATE COLLEGE BLVD, 92806, 3175000, https://www.loopnet.com/Listing/420-450-S-State-College-Blvd-Anaheim-CA/16739772/
287, KING ST, 94107, 4300000, https://www.loopnet.com/Listing/200-298-King-St-San-Francisco-CA/17571433/
